@relation fuzzy
@attribute a numeric
@attribute b numeric
@attribute s numeric
@data
%input1,input2, output3
86.71032683	,	-0.000792307	,	42.2377344
86.15614173	,	-0.000791693	,	42.19047458
85.60239623	,	-0.000791065	,	42.14325229
85.04910007	,	-0.000790423	,	42.09606835
84.49626298	,	-0.000789767	,	42.0489236
83.94389469	,	-0.000789098	,	42.00181888
83.39200494	,	-0.000788414	,	41.954755
82.84060344	,	-0.000787716	,	41.90773281
82.2896999	,	-0.000787005	,	41.86075313
81.73930404	,	-0.00078628	,	41.81381679
81.18942556	,	-0.000785541	,	41.76692462
80.64007416	,	-0.000784788	,	41.72007745
80.09125953	,	-0.000784021	,	41.6732761
79.54299134	,	-0.00078324	,	41.62652141
78.99527929	,	-0.000782446	,	41.5798142
78.44813304	,	-0.000781637	,	41.5331553
77.90156226	,	-0.000780815	,	41.48654552
77.35557661	,	-0.00077998	,	41.43998571
76.81018574	,	-0.00077913	,	41.39347667
76.2653993	,	-0.000778266	,	41.34701924
75.72122692	,	-0.000777389	,	41.30061424
75.17767823	,	-0.000776498	,	41.25426249
74.63476287	,	-0.000775593	,	41.20796481
74.09249045	,	-0.000774675	,	41.16172202
73.55087057	,	-0.000773743	,	41.11553495
73.00991285	,	-0.000772797	,	41.06940442
72.46962687	,	-0.000771837	,	41.02333124
71.93002223	,	-0.000770864	,	40.97731624
71.3911085	,	-0.000769877	,	40.93136022
70.85289526	,	-0.000768876	,	40.88546402
70.31539206	,	-0.000767862	,	40.83962844
69.77860847	,	-0.000766834	,	40.79385431
69.24255403	,	-0.000765792	,	40.74814243
68.70723829	,	-0.000764737	,	40.70249362
68.17267077	,	-0.000763668	,	40.6569087
67.63886099	,	-0.000762585	,	40.61138848
67.10581847	,	-0.000761489	,	40.56593378
66.57355271	,	-0.00076038	,	40.52054539
66.04207322	,	-0.000759256	,	40.47522414
65.51138947	,	-0.00075812	,	40.42997084
64.98151095	,	-0.000756969	,	40.38478629
64.45244712	,	-0.000755805	,	40.3396713
63.92420745	,	-0.000754628	,	40.29462668
63.39680138	,	-0.000753437	,	40.24965324
62.87023836	,	-0.000752233	,	40.20475179
62.34452781	,	-0.000751015	,	40.15992312
61.81967917	,	-0.000749784	,	40.11516805
61.29570183	,	-0.000748539	,	40.07048737
60.7726052	,	-0.000747281	,	40.0258819
60.25039868	,	-0.000746009	,	39.98135243
59.72909165	,	-0.000744724	,	39.37553756
59.20869347	,	-0.000743426	,	38.25282021
58.6892135	,	-0.000742114	,	37.1320836
58.17066111	,	-0.000740789	,	36.0133479
57.65304562	,	-0.000739451	,	34.89663327
57.13637637	,	-0.000738099	,	33.78195982
56.62066268	,	-0.000736734	,	32.66934766
56.10591385	,	-0.000735355	,	31.55881687
55.59213917	,	-0.000733964	,	30.45038748
55.07934794	,	-0.000732559	,	29.34407955
54.56754943	,	-0.000731141	,	28.23991306
54.05675289	,	-0.000729709	,	27.137908
53.54696759	,	-0.000728265	,	26.03808432
53.03820275	,	-0.000726807	,	24.94046196
52.53046762	,	-0.000725336	,	23.84506081
52.02377139	,	-0.000723852	,	22.75190076
51.51812328	,	-0.000722354	,	21.66100166
51.01353248	,	-0.000720844	,	20.57238335
50.51000817	,	-0.00071932	,	19.48606561
50.00755951	,	-0.000717784	,	18.40206822
49.50619567	,	-0.000716234	,	18.38343328
49.00592577	,	-0.000714671	,	18.38107709
48.50675895	,	-0.000713095	,	18.37872618
48.00870434	,	-0.000711507	,	18.37638058
47.51177102	,	-0.000709905	,	18.37404035
47.0159681	,	-0.00070829	,	18.37170552
46.52130464	,	-0.000706662	,	18.36937615
46.02778973	,	-0.000705021	,	18.36705226
45.53543239	,	-0.000703368	,	18.36473391
45.04424169	,	-0.000701701	,	18.36242114
44.55422663	,	-0.000700022	,	18.360114
44.06539623	,	-0.000698329	,	18.35781252
43.57775949	,	-0.000696624	,	18.35551675
43.09132539	,	-0.000694906	,	18.35322673
42.60610289	,	-0.000693175	,	18.3509425
42.12210096	,	-0.000691431	,	18.34866412
41.63932854	,	-0.000689675	,	18.34639161
41.15779454	,	-0.000687906	,	18.34412503
40.67750789	,	-0.000686124	,	18.34186442
40.19847748	,	-0.000684329	,	18.33960981
39.72071219	,	-0.000682522	,	18.29483311
39.24422089	,	-0.000680702	,	18.22003363
38.71975801	,	-0.000749233	,	18.13769817
38.19556595	,	-0.000748846	,	18.05540846
37.72091826	,	-0.000678068	,	17.98090625
37.24760041	,	-0.000676168	,	17.90660531
36.72269627	,	-0.000749863	,	17.82419136
36.19811679	,	-0.000749399	,	17.74184088
35.7268056	,	-0.000673302	,	17.66787241
35.25687911	,	-0.000671324	,	17.59410423
34.73165213	,	-0.000750324	,	17.51162912
34.20680269	,	-0.000749785	,	17.42923633
33.73904303	,	-0.000668228	,	17.35583667
33.21364953	,	-0.000750562	,	17.27332685
32.68867779	,	-0.00074996	,	17.19091493
32.22321874	,	-0.000664942	,	17.11788558
31.75924322	,	-0.000662822	,	17.0450523
